RGI region,Mean area (1976-2016) [km^2],Mass change (1976-2016) [Gt/yr]
01-Alaska (ALA),86725,-47.83999073578067
02-Western Canada US (WNA),14524,-6.1464803792068485
03-Arctic Canada North (ACN),105111,-17.592441617469646
04-Arctic Canada South (ACS),40888,-16.636578248542822
05-Greenland Periphery (GRL),89717,-15.852112975349904
06-Iceland (ISL),11060,-6.307029158765382
07-Svalbard (SJM),33959,-6.758133847344981
08-Scandinavia (SCA),2949,-0.6574890053266893
09-Russian Arctic (RUA),51592,-4.354408061044295
10-North Asia (ASN),2410,-0.9091224555808995
11-Central Europe (CEU),2092,-0.8621699267682215
12-Caucasus Middle East (CAU),1246,-0.21496803855660201
13-Central Asia (ASC),49303,-8.447643682342706
14-South Asia West (ASW),33568,-4.91745673279472
15-South Asia East (ASE),14734,-6.568229603131375
16-Low Latitudes (TRP),2341,-0.6024244748504168
17-Southern Andes (SAN),29429,-16.41588319384727
18-New Zealand (NZL),1162,-0.22199763223801122
19-Antarctica (ANT),132867,14.887550616268946
Global,705677,-146.4170091526725
